title,artist,album,year,path
Blackjack,Death Grips,The Money Store,0,D:\Developing\Programming 3\MusicPlayer\Death Grips - Blackjack.mp3
Guillotine,Death Grips,Exmilitary,0,D:\Developing\Programming 3\MusicPlayer\Death Grips - Guillotine.mp3
You,Nils Frahm,Screws,0,D:\Developing\Programming 3\MusicPlayer\Nils Frahm - You.mp3
